This data set is created from other datasets by selecting some random columns.,,,,,,,,,,,,,,,,
Date,Time,FirstName,LastName,Sex,Favourite Artist,,Fav. Park Location,Home Address (Street),Region,"""City""","""State""","""Age""","""Weight""","""BMI""",Complete,Type
10/5/13,7:30 AM,John,Doe,M," ""Jack Nicholson""",,"(40.9099922695, -73.2632063245)",3526 HIGH ST,9," ""Youngstown""", OH,60,59,22.02,85.50%,1
10/9/13,8:00 AM,Jack,McGinnis,M," ""Roberto Benigni""",,"(40.9099922695, -73.2632063245)",51 OMAHA CT,9," ""Yankton""", SD,12,86,19.7,85.50%,1
12/5/13,8:30 AM,"John ""Da Man""",Repici,M," ""Kevin Spacey""",,"(40.9099922695, -73.2632063245)",2796 BRANCH ST,9," ""Yakima""", WA,41,69,24.09,73%,1
1/2/14,9:00 AM,Stephen,Tyler,M," ""Russell Crowe""",,"(43.3616709338, -76.4360441829)",2805 JANETTE WAY,5," ""Worcester""", MA,22,88,26.97,27%,1
6/5/14,9:30 AM,,Blankman,F," ""Denzel Washington""",,"(42.9657659397, -78.9531063633)",6001 MCMAHON DR,1," ""Arlington""",VA,5,64,21.51,78.30%,1
9/12/14,10:00 AM,"Joan ""the bone"", Anne",Jet,M," ""Adrien Brody""",,"(40.7475174105, -73.4568035403)",5828 PEPPERMILL CT,," ""Winston-Salem""", NC,9,55,18.69,25.60%,1
10/5/14,10:30 AM,Maria,Spacey,F," ""Sean Penn""",,"(40.7475174105, -73.4568035403)",,9," ""Winnipeg""", MB,18,60,24.24,85.50%,1
10/5/14,11:00 AM,Susan,Black,F," ""Jamie Foxx""",,"(40.7475174105, -73.4568035403)",2561 19TH AVE,9," ""Winchester""", VA,16,53,21.23,85.50%,1
1/1/16,11:30 AM,Robin,Jackson,F," ""Philip Seymour Hoffman""",,"(40.7475174105, -73.4568035403)",11150 TRINITY RIVER DR Unit 114,9," ""Wilmington""", NC,30,68,30.26,73%,1
10/5/16,12:00 PM,,,F," ""Forest Whitaker""",,"(40.7475174105, -73.4568035403)",7325 10TH ST,9," ""Wilmington""", DE,43,56,21.88,27%,1
10/5/16,12:30 PM,Whitney,Penn,F," ""Daniel Day-Lewis""",,"(42.6731942171, -76.8677249793)",645 MORRISON AVE,4," ""Williston""", ND,18,47,17.63,78.30%,1
10/5/17,1:00 PM,Bob,Marley,M," ""Sean Penn""",,"(42.2155402507, -75.8362368401)",4085 FAWN CIR,5," ""Williamsport""", PA,50,69,24.57,25.60%,1
10/15/17,1:30 PM,Robert,Robertson,M," ""Jeff Bridges""",,"(43.3417081221, -76.6913106828)",2930 LA ROSA RD,4," ""Williamson""", WV,2,66,20.68,75.50%,1
10/5/18,2:00 PM,Emily,Foxx,F," ""Colin Firth""",,"(43.0469783183, -75.9818848047)",2113 KIRK WAY,5," ""Wichita Falls""", TX,13,55,20.97,73%,1
10/5/19,2:30 PM,Susan,Mancini,F," ""Jean Dujardin""",,"(42.0930548903, -77.1547655357)",4533 LOCH HAVEN WAY,4," ""Wichita""", KS,15,68,27.3,27%,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
